Id;Response_Market_Index;PROD_Formula;PER_sex;PER_Sex_Second_Driver;VEH_Actual_Value;CLA_HISTORY;CLA_HISTORY_1Y;CLA_HISTORY_3Y;CLA_BM_TPL_DECLARED;BEH_Mileage;PER_KIDS_ON_BOARD_ID;VEH_Number_of_doors;VEH_Top_Speed;BEH_Number_Year_Insured;VEH_TransmissionId;PER_Age_Main_Driver;PER_License_Age_Main_Driver;PER_License_Age_Second_Driver;PER_Matrimonial_Status;VEH_Age;VEH_Injection_Mode;VEH_fuel_type;BEH_vehicule_usage;VEH_Drive_type;VEH_Body;VEH_Segment;PER_Parking_Type;CLA_BM;VEH_engine_HP;VEH_pw_proportion;VEH_High_Risk_Vehicle;PER_previous_insurer;PER_Is_second_driver;PER_Age_oldest_child;PER_Second_Driver_Age;PER_Insured_Before;VEH_Weight;GEO_Lat;GEO_Long
1710384;334;BASIC;2;0;3300;2;1;2;1;14;1;?;160;7;7;32;13;-1;1;17;389999;1;1;50001;10;30002;2;7;60;50;2;27;1;1;-1;1;897;1.67582362509258;-4.43114659022756
1710386;462.24;FULL;2;0;18198;2;2;2;1;14;2;5;206;8;7;33;14;-1;2;8;380002;1;1;50001;9;30005;3;8;147;77;2;27;1;4;-1;2;1410;0.475823625092588;-0.747746590227564
1710389;365.13;FULL;1;0;37487;1;1;1;1;14;1;5;242;7;8;35;17;-1;2;7;380009;2;1;50003;9;30006;2;7;233;94;2;10;1;6;-1;2;1825;-1.42417637490742;-1.64774659022756
1710391;988;FULL;1;0;8327;1;1;1;-1;13;3;3;162;-1;7;45;0;-1;5;10;389999;1;1;50001;10;30002;3;0;64;47;2;-99;1;-99;-1;4;1015;-1.65757637490741;0.902253409772435
1710392;261;BASIC;1;0;33360;1;1;1;1;13;2;5;175;10;7;59;25;-1;2;0;380002;1;1;50001;10;30002;1;10;86;56;2;7;1;-99;-1;2;1135;1.32582362509258;0.435553409772435
1710395;239;FULL;1;0;33360;1;1;1;1;13;2;5;175;10;7;59;25;-1;2;0;380002;1;1;50001;10;30002;1;10;86;56;2;7;1;-99;-1;2;1135;1.32582362509258;0.435553409772435
1710396;615;FULL;1;2;7700;1;1;1;2;12;1;5;172;6;7;31;7;1;1;12;389999;1;1;50001;10;30002;3;6;75;58;2;15;2;8;26;1;959;-1.39087637490741;-0.0477465902275647
1710398;489;FULL;1;0;16883;1;1;1;6;13;2;5;187;3;7;49;2;-1;2;10;389999;2;1;50001;10;30003;2;2;105;62;2;18;1;-99;-1;1;1251;-0.640876374907414;-1.98114659022756
1710399;615;FULL;1;2;7700;1;1;1;2;12;1;5;172;6;7;31;7;1;1;12;389999;1;1;50001;10;30002;3;6;75;58;2;15;2;8;26;1;959;-1.39087637490741;-0.0477465902275647
1710400;409;FULL;1;0;14220;1;1;1;1;14;1;5;178;10;7;30;12;-1;2;8;389999;1;1;50001;10;30003;3;10;90;54;2;27;1;12;-1;2;1230;0.425823625092583;3.28555340977244
1710403;469;BASIC;2;0;1600;1;1;1;7;13;2;?;187;1;7;34;10;-1;5;16;389999;1;1;50001;10;30003;3;1;103;65;2;18;1;12;-1;1;1175;0.00912362509258458;0.452253409772435
1710404;988;FULL;1;0;8327;1;1;1;-1;13;3;3;162;-1;7;45;0;-1;5;10;389999;1;1;50001;10;30002;3;0;64;47;2;-99;1;-99;-1;4;1015;-1.65757637490741;0.902253409772435
1710406;365.13;FULL;1;0;37487;1;1;1;1;14;1;5;242;7;8;35;17;-1;2;7;380009;2;1;50003;9;30006;2;7;233;94;2;10;1;6;-1;2;1825;-1.42417637490742;-1.64774659022756
1710408;239;FULL;1;0;33360;1;1;1;1;13;2;5;175;10;7;59;25;-1;2;0;380002;1;1;50001;10;30002;1;10;86;56;2;7;1;-99;-1;2;1135;1.32582362509258;0.435553409772435
1710409;239;FULL;1;0;33360;1;1;1;1;13;2;5;175;10;7;59;25;-1;2;0;380002;1;1;50001;10;30002;1;10;86;56;2;7;1;-99;-1;2;1135;1.32582362509258;0.435553409772435
1710412;369;FULL;1;0;8037;1;1;1;1;14;1;5;163;10;7;36;18;-1;2;10;389999;1;1;50001;10;30002;2;10;82;60;2;32;1;7;-1;2;1001;-1.45757637490742;-0.347746590227565
1710413;382.08;BASIC;1;1;12622;1;1;1;1;16;3;5;192;10;7;61;30;6;2;10;380002;1;1;50001;9;30005;2;10;120;63;2;2;2;25;25;1;1410;0.675823625092583;2.31885340977244
1710414;266.55;BASIC;1;2;2600;1;1;1;1;13;1;?;145;10;7;50;27;5;2;18;389999;1;1;50001;10;30002;2;10;45;39;1;10;2;15;26;1;850;2.47582362509259;-2.91444659022756
1710416;335.46;BASIC;2;0;8400;1;1;1;1;13;1;5;170;10;7;32;13;-1;2;13;389999;2;1;50001;9;30003;2;10;100;53;2;16;1;2;-1;1;1400;1.70912362509259;-1.48114659022756
1710418;460;FULL;1;0;56103;1;1;1;2;14;1;4;170;7;7;38;19;-1;2;5;380008;2;1;50007;11;30010;2;7;171;67;2;21;1;11;-1;2;1885;2.57582362509258;-0.747746590227564
1710419;382.08;FULL;1;1;12622;1;1;1;1;16;3;5;192;10;7;61;30;6;2;10;380002;1;1;50001;9;30005;2;10;120;63;2;2;2;25;25;1;1410;0.675823625092583;2.31885340977244
1710421;654.16;BASIC;2;0;5100;1;1;1;3;13;3;5;195;0;7;28;4;-1;2;13;389999;2;1;50001;10;30005;2;0;115;60;2;27;1;-99;-1;1;1426;-1.42417637490742;-0.164446590227563
